/* DATA DESCRIPTION:
Citation:	Loulergue, Laetitia; Parrenin, Frédéric; Blunier, Thomas; Barnola, Jean-Marc; Spahni, Renato; Schilt, Adrian; Raisbeck, Grant M; Chappellaz, Jérôme A (2009): (Supplement 2) EDC gas chronologies for the different scenarios 1 to 4 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.711012
Related to:	Loulergue, Laetitia; Parrenin, Frédéric; Blunier, Thomas; Barnola, Jean-Marc; Spahni, Renato; Schilt, Adrian; Raisbeck, Grant M; Chappellaz, Jérôme A (2007): New constraints on the gas age-ice age difference along the EPICA ice cores, 0-50 kyr. Climate of the Past, 3, 527-540, https://doi.org/10.5194/cp-3-527-2007
	Parrenin, Frédéric; Barnola, Jean-Marc; Beer, Jürg; Blunier, Thomas; Castellano, Emiliano; Chappellaz, Jérôme A; Dreyfus, Gabrielle; Fischer, Hubertus; Fujita, Shuji; Jouzel, Jean; Kawamura, Kenji; Lemieux-Dudon, Bénédicte; Loulergue, Laetitia; Masson-Delmotte, Valerie; Narcisi, Biancamaria; Petit, Jean Robert; Raisbeck, Grant M; Raynaud, Dominique; Ruth, Urs; Schwander, Jakob; Severi, Mirko; Spahni, Renato; Steffensen, Jørgen Peder; Svensson, Anders M; Udisti, Roberto; Waelbroeck, Claire; Wolff, Eric William (2007): The EDC3 chronology for the EPICA Dome C ice core. Climate of the Past, 3, 485-497, https://doi.org/10.5194/cp-3-485-2007
Other version:	Zip archive of supplements [dataset]. https://cp.copernicus.org/articles/3/527/2007/cp-3-527-2007-supplement.zip
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Funding:	Fifth Framework Programme (FP5), grant/award no. EVK2-CT-2000-00077: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/EVK2-CT-2000-00077)
	Fourth Framework Programme (FP4), grant/award no. ENV4980702: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/ENV4980702)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 96.25 m * MAXIMUM DEPTH, ice/snow: 3256.55 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * Recovery: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Comment:	Scenario 4 is defined as the EDC3_gas_a age scale, official gas chronology for EDC that can be used for the moment, waiting on a better one. Ice chronology is EDC3 (Parrenin et al., Climate of the Past, 3, 485-497, 2007).
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Age model [ka] (Age model) * PI: Parrenin, Frédéric (https://orcid.org/0000-0002-9489-3991, frederic.parrenin@univ-grenoble-alpes.fr) * COMMENT: based on EDC3 time scale
	Gas age [ka BP] (Gas age) * PI: Loulergue, Laetitia * COMMENT: Scenario 1
	Gas age [ka BP] (Gas age) * PI: Loulergue, Laetitia * COMMENT: Scenario 2
	Gas age [ka BP] (Gas age) * PI: Loulergue, Laetitia * COMMENT: Scenario 3
	Gas age [ka BP] (Gas age) * PI: Loulergue, Laetitia * COMMENT: Scenario 4, EDC3_gas_a age scale
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	28722 data points
*/
Depth ice/snow [m]	Age model [ka] (based on EDC3 time scale)	Gas age [ka BP] (Scenario 1)	Gas age [ka BP] (Scenario 2)	Gas age [ka BP] (Scenario 3)	Gas age [ka BP] (Scenario 4, EDC3_gas_a age scale)
144.65	3.980	1.572	1.590	1.665	1.575
145.20	3.999	1.593	1.611	1.687	1.596
145.75	4.019	1.615	1.633	1.708	1.618
146.30	4.038	1.636	1.654	1.728	1.638
146.85	4.057	1.657	1.675	1.749	1.659
147.40	4.076	1.680	1.697	1.769	1.683
147.95	4.095	1.703	1.720	1.788	1.707
148.50	4.115	1.718	1.735	1.803	1.721
149.05	4.134	1.733	1.751	1.819	1.734
149.60	4.154	1.755	1.773	1.841	1.756
150.15	4.173	1.776	1.794	1.862	1.777
150.70	4.193	1.794	1.812	1.882	1.794
151.25	4.212	1.817	1.834	1.905	1.816
151.80	4.231	1.844	1.860	1.931	1.843
152.35	4.250	1.864	1.881	1.950	1.863
152.90	4.269	1.881	1.898	1.965	1.878
153.45	4.288	1.898	1.915	1.984	1.895
154.00	4.307	1.915	1.933	2.003	1.911
154.55	4.326	1.935	1.953	2.023	1.932
155.10	4.347	1.957	1.974	2.044	1.954
155.65	4.367	1.979	1.996	2.066	1.976
156.20	4.387	1.999	2.016	2.087	1.995
156.75	4.406	2.016	2.033	2.106	2.010
157.30	4.426	2.037	2.055	2.128	2.032
157.85	4.445	2.063	2.080	2.153	2.059
158.40	4.465	2.083	2.100	2.173	2.078
158.95	4.484	2.100	2.118	2.192	2.092
159.50	4.503	2.118	2.135	2.210	2.110
160.05	4.521	2.135	2.152	2.227	2.128
160.60	4.542	2.155	2.172	2.249	2.147
161.15	4.562	2.176	2.193	2.272	2.168
161.70	4.582	2.200	2.217	2.296	2.193
162.25	4.602	2.223	2.240	2.316	2.215
162.80	4.622	2.243	2.260	2.334	2.235
163.35	4.642	2.264	2.281	2.356	2.256
163.90	4.661	2.285	2.301	2.382	2.277
164.45	4.681	2.305	2.321	2.400	2.296
165.00	4.701	2.324	2.340	2.416	2.315
165.55	4.721	2.344	2.361	2.436	2.335
166.10	4.741	2.364	2.381	2.455	2.354
166.65	4.760	2.383	2.400	2.477	2.373
167.20	4.781	2.403	2.419	2.498	2.393
167.75	4.801	2.422	2.438	2.516	2.412
168.30	4.821	2.443	2.459	2.537	2.434
168.85	4.842	2.467	2.482	2.561	2.458
169.40	4.863	2.489	2.504	2.585	2.480
169.95	4.882	2.510	2.525	2.608	2.501
170.50	4.901	2.529	2.544	2.626	2.519
171.05	4.920	2.548	2.563	2.644	2.537
171.60	4.939	2.571	2.586	2.668	2.561
172.15	4.958	2.591	2.606	2.689	2.581
172.70	4.978	2.603	2.619	2.701	2.593
173.25	4.997	2.620	2.636	2.716	2.609
173.80	5.018	2.642	2.657	2.734	2.630
174.35	5.037	2.662	2.677	2.755	2.651
174.90	5.057	2.683	2.698	2.779	2.672
175.45	5.077	2.701	2.717	2.795	2.691
176.00	5.097	2.718	2.734	2.809	2.709
176.55	5.118	2.741	2.757	2.833	2.730
177.10	5.137	2.762	2.778	2.856	2.751
177.65	5.156	2.783	2.799	2.881	2.772
178.20	5.175	2.803	2.819	2.902	2.791
178.75	5.193	2.820	2.836	2.919	2.806
179.30	5.212	2.836	2.853	2.937	2.823
179.85	5.232	2.854	2.871	2.955	2.841
180.40	5.253	2.876	2.893	2.977	2.862
180.95	5.273	2.898	2.915	2.999	2.884
181.50	5.293	2.920	2.936	3.017	2.905
182.05	5.312	2.941	2.957	3.034	2.925
182.60	5.332	2.962	2.978	3.056	2.945
183.15	5.351	2.983	2.999	3.078	2.966
183.70	5.370	3.004	3.020	3.103	2.988
184.25	5.389	3.019	3.036	3.120	3.003
184.80	5.409	3.028	3.046	3.129	3.012
185.35	5.430	3.047	3.065	3.147	3.031
185.90	5.453	3.072	3.090	3.172	3.055
186.45	5.474	3.093	3.111	3.194	3.076
187.00	5.495	3.112	3.130	3.215	3.095
187.55	5.516	3.133	3.150	3.233	3.117
188.10	5.539	3.157	3.174	3.255	3.143
188.65	5.561	3.191	3.206	3.287	3.176
189.20	5.580	3.216	3.231	3.312	3.200
189.75	5.598	3.231	3.246	3.327	3.215
190.30	5.617	3.248	3.264	3.345	3.231
190.85	5.637	3.266	3.282	3.363	3.248
191.40	5.657	3.287	3.302	3.381	3.269
191.95	5.677	3.308	3.323	3.398	3.290
192.50	5.697	3.332	3.347	3.423	3.314
193.05	5.717	3.355	3.370	3.447	3.339
193.60	5.736	3.377	3.392	3.468	3.361
194.15	5.756	3.399	3.413	3.488	3.382
194.70	5.774	3.416	3.431	3.507	3.398
195.25	5.793	3.434	3.449	3.525	3.416
195.80	5.811	3.454	3.469	3.543	3.435
196.35	5.831	3.474	3.489	3.562	3.455
196.90	5.850	3.495	3.510	3.580	3.475
197.45	5.868	3.514	3.529	3.599	3.493
198.00	5.887	3.533	3.548	3.619	3.511
198.55	5.905	3.545	3.561	3.632	3.523
199.10	5.926	3.560	3.576	3.647	3.538
199.65	5.946	3.577	3.593	3.666	3.554
200.20	5.967	3.597	3.614	3.687	3.575
200.75	5.989	3.623	3.640	3.711	3.601
201.30	6.009	3.646	3.662	3.734	3.623
201.85	6.028	3.665	3.681	3.755	3.642
202.40	6.047	3.682	3.699	3.772	3.658
202.95	6.067	3.699	3.716	3.789	3.674
203.50	6.087	3.723	3.739	3.812	3.698
204.05	6.107	3.747	3.762	3.834	3.723
204.60	6.127	3.767	3.782	3.854	3.742
205.15	6.147	3.785	3.801	3.874	3.760
205.70	6.166	3.801	3.818	3.893	3.774
206.25	6.186	3.819	3.836	3.911	3.792
206.80	6.205	3.840	3.857	3.929	3.812
207.35	6.225	3.858	3.876	3.947	3.830
207.90	6.245	3.876	3.894	3.967	3.848
208.45	6.265	3.900	3.917	3.992	3.873
209.00	6.286	3.926	3.942	4.018	3.899
209.55	6.306	3.940	3.956	4.032	3.912
210.10	6.326	3.954	3.971	4.047	3.925
210.65	6.346	3.974	3.991	4.066	3.945
211.20	6.367	3.994	4.011	4.085	3.966
211.75	6.388	4.012	4.029	4.106	3.983
212.30	6.409	4.034	4.052	4.129	4.005
212.85	6.430	4.060	4.077	4.154	4.031
213.40	6.449	4.081	4.098	4.174	4.051
213.95	6.468	4.100	4.117	4.192	4.069
214.50	6.487	4.113	4.131	4.206	4.082
215.05	6.509	4.129	4.147	4.223	4.098
215.60	6.531	4.157	4.174	4.252	4.125
216.15	6.550	4.180	4.197	4.276	4.148
216.70	6.570	4.194	4.211	4.294	4.162
217.25	6.590	4.210	4.228	4.311	4.177
217.80	6.612	4.227	4.246	4.326	4.195
218.35	6.633	4.247	4.266	4.345	4.214
218.90	6.654	4.267	4.286	4.365	4.233
219.45	6.675	4.297	4.314	4.394	4.263
220.00	6.695	4.326	4.342	4.423	4.294
220.55	6.715	4.343	4.359	4.437	4.310
221.10	6.735	4.358	4.376	4.452	4.325
221.65	6.755	4.372	4.390	4.467	4.338
222.20	6.775	4.388	4.407	4.485	4.354
222.75	6.797	4.410	4.429	4.507	4.376
223.30	6.818	4.435	4.453	4.532	4.399
223.85	6.838	4.460	4.477	4.559	4.423
224.40	6.858	4.483	4.500	4.580	4.445
224.95	6.877	4.505	4.523	4.600	4.465
225.50	6.895	4.521	4.539	4.618	4.481
226.05	6.913	4.538	4.556	4.637	4.497
226.60	6.933	4.555	4.573	4.654	4.514
227.15	6.953	4.574	4.593	4.675	4.532
227.70	6.974	4.598	4.616	4.701	4.555
228.25	6.994	4.618	4.636	4.722	4.575
228.80	7.013	4.633	4.651	4.736	4.589
229.35	7.034	4.653	4.672	4.756	4.610
229.90	7.056	4.676	4.694	4.777	4.633
230.45	7.076	4.695	4.714	4.797	4.652
231.00	7.097	4.714	4.733	4.817	4.670
231.55	7.118	4.731	4.750	4.830	4.687
232.10	7.139	4.749	4.768	4.845	4.704
232.65	7.160	4.765	4.784	4.864	4.722
233.20	7.183	4.785	4.805	4.886	4.743
233.75	7.206	4.810	4.829	4.910	4.768
234.30	7.228	4.830	4.849	4.931	4.789
234.85	7.249	4.849	4.868	4.950	4.807
235.40	7.270	4.874	4.892	4.976	4.831
235.95	7.292	4.901	4.919	5.006	4.858
236.50	7.311	4.920	4.938	5.024	4.875
237.05	7.330	4.937	4.955	5.040	4.891
237.60	7.349	4.952	4.970	5.055	4.906
238.15	7.371	4.969	4.988	5.073	4.923
238.70	7.392	4.986	5.006	5.090	4.940
239.25	7.414	5.007	5.027	5.111	4.962
239.80	7.436	5.033	5.051	5.136	4.988
240.35	7.457	5.052	5.071	5.156	5.007
240.90	7.478	5.068	5.088	5.173	5.021
241.45	7.498	5.094	5.113	5.200	5.047
242.00	7.519	5.121	5.139	5.229	5.075
242.55	7.539	5.144	5.162	5.252	5.097
243.10	7.557	5.165	5.183	5.273	5.117
243.65	7.576	5.184	5.202	5.294	5.135
244.20	7.595	5.201	5.219	5.312	5.150
244.75	7.614	5.212	5.232	5.326	5.160
245.30	7.633	5.229	5.249	5.343	5.177
245.85	7.655	5.252	5.273	5.364	5.201
246.40	7.676	5.278	5.298	5.390	5.227
246.95	7.695	5.302	5.321	5.415	5.251
247.50	7.714	5.316	5.336	5.430	5.263
248.05	7.733	5.331	5.352	5.446	5.276
248.60	7.753	5.361	5.381	5.474	5.306
249.15	7.773	5.386	5.404	5.498	5.330
249.70	7.792	5.396	5.416	5.510	5.339
250.25	7.812	5.411	5.432	5.525	5.353
250.80	7.833	5.432	5.453	5.543	5.373
251.35	7.854	5.457	5.477	5.566	5.398
251.90	7.874	5.483	5.502	5.592	5.425
252.45	7.894	5.502	5.521	5.612	5.444
253.00	7.913	5.520	5.539	5.631	5.461
253.55	7.933	5.535	5.555	5.644	5.477
254.10	7.953	5.552	5.572	5.659	5.493
254.65	7.974	5.570	5.591	5.678	5.512
255.20	7.995	5.588	5.609	5.697	5.530
255.75	8.016	5.606	5.627	5.716	5.548
256.30	8.038	5.622	5.643	5.733	5.563
256.85	8.060	5.636	5.658	5.749	5.578
257.40	8.083	5.662	5.683	5.774	5.604
257.95	8.104	5.690	5.710	5.800	5.632
258.50	8.124	5.703	5.724	5.814	5.646
259.05	8.145	5.715	5.737	5.827	5.659
259.60	8.168	5.733	5.755	5.850	5.676
260.15	8.191	5.753	5.776	5.873	5.696
260.70	8.213	5.777	5.799	5.894	5.718
261.25	8.235	5.800	5.822	5.916	5.741
261.80	8.256	5.823	5.845	5.938	5.764
262.35	8.277	5.842	5.864	5.958	5.783
262.90	8.298	5.859	5.883	5.978	5.799
263.45	8.319	5.879	5.903	5.998	5.819
264.00	8.340	5.900	5.923	6.017	5.840
264.55	8.361	5.917	5.941	6.035	5.857
265.10	8.383	5.935	5.959	6.053	5.874
265.65	8.405	5.957	5.980	6.076	5.897
266.20	8.427	5.980	6.003	6.099	5.920
266.75	8.448	6.004	6.027	6.123	5.943
267.30	8.468	6.024	6.047	6.142	5.963
267.85	8.488	6.041	6.065	6.158	5.978
268.40	8.508	6.062	6.086	6.179	5.999
268.95	8.529	6.084	6.108	6.202	6.023
269.50	8.550	6.105	6.129	6.224	6.042
270.05	8.570	6.125	6.149	6.244	6.062
270.60	8.589	6.147	6.171	6.265	6.082
271.15	8.609	6.168	6.192	6.285	6.101
271.70	8.629	6.185	6.209	6.304	6.116
272.25	8.648	6.203	6.228	6.323	6.134
272.80	8.668	6.224	6.249	6.343	6.154
273.35	8.688	6.243	6.268	6.362	6.173
273.90	8.709	6.261	6.287	6.381	6.190
274.45	8.730	6.282	6.308	6.403	6.210
275.00	8.750	6.305	6.331	6.426	6.230
275.55	8.770	6.322	6.348	6.442	6.247
276.10	8.790	6.340	6.366	6.460	6.265
276.65	8.811	6.364	6.389	6.484	6.288
277.20	8.833	6.389	6.414	6.509	6.312
277.75	8.852	6.412	6.438	6.534	6.335
278.30	8.872	6.432	6.458	6.554	6.355
278.85	8.891	6.451	6.477	6.569	6.373
279.40	8.911	6.471	6.497	6.589	6.391
279.95	8.931	6.492	6.518	6.611	6.409
280.50	8.950	6.516	6.542	6.635	6.433
281.05	8.969	6.540	6.565	6.659	6.456
281.60	8.988	6.557	6.583	6.676	6.472
282.15	9.008	6.575	6.601	6.693	6.489
282.70	9.027	6.597	6.622	6.714	6.509
283.25	9.047	6.618	6.643	6.736	6.529
283.80	9.066	6.637	6.662	6.757	6.548
284.35	9.086	6.656	6.681	6.777	6.567
284.90	9.105	6.674	6.700	6.797	6.587
285.45	9.126	6.691	6.718	6.814	6.603
286.00	9.147	6.708	6.736	6.829	6.618
286.55	9.168	6.734	6.761	6.854	6.641
287.10	9.187	6.760	6.785	6.879	6.664
287.65	9.207	6.788	6.812	6.907	6.692
288.20	9.224	6.810	6.834	6.930	6.713
288.75	9.242	6.823	6.849	6.943	6.727
289.30	9.262	6.841	6.867	6.963	6.742
289.85	9.281	6.860	6.887	6.986	6.760
290.40	9.301	6.883	6.910	7.010	6.781
290.95	9.319	6.908	6.934	7.033	6.804
291.50	9.338	6.929	6.955	7.054	6.822
292.05	9.357	6.949	6.975	7.075	6.841
292.60	9.376	6.972	6.998	7.098	6.862
293.15	9.394	6.996	7.022	7.121	6.883
293.70	9.412	7.020	7.046	7.147	6.905
294.25	9.430	7.043	7.069	7.171	6.926
294.80	9.447	7.062	7.088	7.191	6.943
295.35	9.464	7.076	7.103	7.206	6.955
295.90	9.484	7.088	7.116	7.218	6.964
296.45	9.504	7.112	7.139	7.241	6.985
297.00	9.523	7.137	7.163	7.265	7.008
297.55	9.542	7.161	7.187	7.287	7.030
298.10	9.561	7.186	7.212	7.309	7.053
298.65	9.578	7.209	7.235	7.334	7.077
299.20	9.596	7.230	7.255	7.356	7.098
299.75	9.614	7.246	7.272	7.374	7.113
300.30	9.633	7.268	7.294	7.397	7.133
300.85	9.652	7.294	7.319	7.422	7.157
301.40	9.669	7.315	7.340	7.443	7.176
301.95	9.686	7.335	7.360	7.462	7.194
302.50	9.704	7.357	7.382	7.482	7.215
303.05	9.721	7.380	7.404	7.503	7.236
303.60	9.738	7.404	7.427	7.526	7.258
304.15	9.755	7.423	7.446	7.545	7.275
304.70	9.772	7.432	7.456	7.557	7.282
305.25	9.789	7.447	7.472	7.574	7.297
305.80	9.809	7.470	7.495	7.597	7.322
306.35	9.828	7.489	7.514	7.617	7.340
306.90	9.847	7.505	7.531	7.634	7.354
307.45	9.866	7.527	7.553	7.658	7.375
308.00	9.884	7.550	7.576	7.683	7.396
308.55	9.902	7.569	7.595	7.701	7.414
309.10	9.920	7.589	7.615	7.720	7.433
309.65	9.939	7.611	7.637	7.742	7.453
310.20	9.957	7.632	7.658	7.764	7.473
310.75	9.976	7.651	7.677	7.784	7.489
311.30	9.994	7.672	7.699	7.808	7.509
311.85	10.012	7.697	7.723	7.835	7.530
312.40	10.029	7.717	7.743	7.853	7.548
312.95	10.047	7.735	7.762	7.868	7.564
313.50	10.065	7.752	7.779	7.887	7.577
314.05	10.083	7.770	7.798	7.907	7.593
314.60	10.101	7.802	7.828	7.940	7.623
315.15	10.117	7.829	7.854	7.967	7.647
315.70	10.134	7.844	7.871	7.981	7.660
316.25	10.151	7.862	7.889	7.999	7.675
316.80	10.169	7.882	7.910	8.023	7.692
317.35	10.187	7.902	7.930	8.045	7.710
317.90	10.205	7.923	7.951	8.067	7.727
318.45	10.222	7.940	7.969	8.085	7.742
319.00	10.241	7.957	7.986	8.103	7.756
319.55	10.259	7.987	8.015	8.130	7.783
320.10	10.278	8.015	8.042	8.157	7.809
320.65	10.295	8.037	8.063	8.177	7.828
321.20	10.313	8.057	8.082	8.195	7.845
321.75	10.331	8.073	8.100	8.211	7.860
