/* DATA DESCRIPTION:
Citation:	Augustin, Laurent; Barbante, Carlo; Barnes, Piers R F; Barnola, Jean-Marc; Bigler, Matthias; Castellano, Emiliano; Cattani, Olivier; Chappellaz, Jérôme A; Dahl-Jensen, Dorthe; Delmonte, Barbara; Dreyfus, Gabrielle; Durand, Gael; Falourd, Sonia; Fischer, Hubertus; Flückiger, Jacqueline; Hansson, Margareta E; Huybrechts, Philippe; Jugie, Gérard; Johnsen, Sigfús Jóhann; Jouzel, Jean; Kaufmann, Patrik R; Kipfstuhl, Sepp; Lambert, Fabrice; Lipenkov, Vladimir Ya; Littot, Geneviève C; Longinelli, Antonio; Lorrain, Reginald D; Maggi, Valter; Masson-Delmotte, Valerie; Miller, Heinz; Mulvaney, Robert; Oerlemans, Johannes; Oerter, Hans; Orombelli, Giuseppe; Parrenin, Frédéric; Peel, David A; Petit, Jean Robert; Raynaud, Dominique; Ritz, Catherine; Ruth, Urs; Schwander, Jakob; Siegenthaler, Urs; Souchez, Roland A; Stauffer, Bernhard; Steffensen, Jørgen Peder; Stenni, Barbara; Stocker, Thomas F; Tabacco, Ignazio; Udisti, Roberto; van de Wal, Roderik S W; van den Broeke, Michiel R; Wilhelms, Frank; Winther, Jan-Gunnar; Wolff, Eric William; Zucchelli, Mario (2004): Dome C age scale EDC2 for ice core EDC [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.198749, 
	In supplement to: Augustin, L et al. (2004): Eight glacial cycles from an Antarctic ice core. Nature, 429(6992), 623-628, https://doi.org/10.1038/nature02599
Further details:	Documentation of EPICA Dome C. hdl:10013/epic.32364.d001
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Funding:	Fifth Framework Programme (FP5), grant/award no. EVK2-CT-2000-00077: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/EVK2-CT-2000-00077)
	Fourth Framework Programme (FP4), grant/award no. ENV4980702: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/ENV4980702)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 0 m * MAXIMUM DEPTH, ice/snow: 3190 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * Recovery: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Comment:	EDC2 timescale, adopted by SC December 2003. EDC2 was recommended for all EPICA papers below 800 m until EDC3 was adopted. Matches EDC1 (doi:10.1594/PANGAEA.198748) at 800 m in ice scale. EDC1 was recommended above 800 m. However, the new timescale EDC3 (doi:10.1594/PANGAEA.671367) has been recommended since mid 2007, and supersedes both EDC1 and EDC2 which are now only shown for reference, to enable those using older papers to understand what was used.
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Age model [ka] (Age model) * PI: Schwander, Jakob (schwander@climate.unibe.ch) * METHOD/DEVICE: Age model, ice flow model * COMMENT: EDC2 time scale
	Gas age [ka BP] (Gas age) * PI: Schwander, Jakob (schwander@climate.unibe.ch) * METHOD/DEVICE: Age model, ice flow model * COMMENT: EDC2 time scale
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	6281 data points
*/
Depth ice/snow [m]	Age model [ka]	Gas age [ka BP]
228	6.897	4.536
229	6.936	4.583
230	6.973	4.617
231	7.012	4.650
232	7.051	4.692
233	7.092	4.715
234	7.134	4.762
235	7.174	4.797
236	7.214	4.830
237	7.253	4.886
238	7.290	4.910
239	7.330	4.945
240	7.372	4.978
241	7.412	5.022
242	7.452	5.056
243	7.491	5.108
244	7.526	5.155
245	7.560	5.187
246	7.598	5.201
247	7.638	5.252
248	7.676	5.291
249	7.713	5.331
250	7.749	5.375
251	7.787	5.396
252	7.827	5.430
253	7.866	5.477
254	7.903	5.508
255	7.942	5.545
256	7.981	5.579
257	8.020	5.614
258	8.060	5.642
259	8.100	5.693
260	8.140	5.711
261	8.183	5.747
262	8.225	5.794
263	8.265	5.836
264	8.304	5.874
265	8.343	5.909
266	8.383	5.941
267	8.423	5.979
268	8.462	6.023
269	8.502	6.046
270	8.542	6.101
271	8.579	6.134
272	8.616	6.180
273	8.654	6.209
274	8.693	6.245
275	8.732	6.285
276	8.771	6.325
277	8.810	6.354
278	8.851	6.396
279	8.890	6.438
280	8.929	6.479
281	8.967	6.519
282	9.005	6.559
283	9.043	6.598
284	9.081	6.639
285	9.119	6.674
286	9.159	6.702
287	9.201	6.743
288	9.242	6.783
289	9.279	6.845
290	9.315	6.866
291	9.354	6.908
292	9.392	6.950
293	9.430	6.992
294	9.467	7.037
295	9.503	7.085
296	9.538	7.120
297	9.576	7.145
298	9.616	7.192
299	9.654	7.237
300	9.691	7.281
301	9.727	7.317
302	9.764	7.364
303	9.800	7.398
304	9.835	7.443
305	9.868	7.488
306	9.905	7.498
307	9.943	7.556
308	9.979	7.590
309	10.015	7.628
310	10.053	7.664
311	10.089	7.715
312	10.125	7.739
313	10.163	7.792
314	10.198	7.828
315	10.237	7.853
316	10.273	7.926
317	10.307	7.955
318	10.342	7.998
319	10.378	8.031
320	10.416	8.069
321	10.454	8.120
322	10.490	8.165
323	10.526	8.200
324	10.564	8.236
325	10.603	8.275
326	10.640	8.328
327	10.675	8.372
328	10.711	8.405
329	10.747	8.445
330	10.784	8.481
331	10.823	8.512
332	10.862	8.558
333	10.899	8.610
334	10.937	8.629
335	10.978	8.667
336	11.019	8.712
337	11.058	8.763
338	11.096	8.799
339	11.136	8.834
340	11.175	8.882
341	11.214	8.909
342	11.254	8.958
343	11.292	8.999
344	11.330	9.035
345	11.371	9.068
346	11.412	9.111
347	11.452	9.149
348	11.491	9.205
349	11.527	9.240
350	11.567	9.256
351	11.608	9.310
352	11.645	9.354
353	11.682	9.388
354	11.721	9.415
355	11.761	9.455
356	11.800	9.499
357	11.837	9.538
358	11.875	9.571
359	11.915	9.593
360	11.958	9.634
361	11.998	9.681
362	12.036	9.717
363	12.074	9.748
364	12.114	9.777
365	12.155	9.818
366	12.196	9.848
367	12.239	9.876
368	12.283	9.915
369	12.327	9.950
370	12.374	9.973
371	12.420	10.025
372	12.463	10.064
373	12.507	10.092
374	12.554	10.117
375	12.603	10.159
376	12.652	10.184
377	12.700	10.239
378	12.744	10.273
379	12.793	10.286
380	12.847	10.322
381	12.898	10.373
382	12.948	10.401
383	13.000	10.437
384	13.054	10.464
385	13.110	10.500
386	13.166	10.541
387	13.219	10.584
388	13.273	10.609
389	13.328	10.650
390	13.382	10.691
391	13.435	10.725
392	13.490	10.758
393	13.544	10.808
394	13.597	10.839
395	13.652	10.876
396	13.704	10.927
397	13.755	10.962
398	13.804	11.009
399	13.854	11.037
400	13.907	11.068
401	13.961	11.105
402	14.015	11.147
403	14.064	11.199
404	14.113	11.229
405	14.166	11.251
406	14.223	11.288
407	14.278	11.331
408	14.331	11.375
409	14.384	11.405
410	14.439	11.439
411	14.494	11.477
412	14.545	11.532
413	14.593	11.565
414	14.644	11.593
415	14.697	11.627
416	14.747	11.683
417	14.795	11.709
418	14.844	11.753
419	14.890	11.797
420	14.936	11.828
421	14.985	11.862
422	15.038	11.883
423	15.092	11.940
424	15.145	11.961
425	15.200	12.012
426	15.254	12.045
427	15.310	12.082
428	15.368	12.122
429	15.423	12.177
430	15.477	12.222
431	15.528	12.277
432	15.580	12.312
433	15.632	12.369
434	15.686	12.395
435	15.743	12.442
436	15.799	12.500
437	15.854	12.546
438	15.911	12.586
439	15.970	12.631
440	16.030	12.684
441	16.090	12.732
442	16.148	12.798
443	16.205	12.842
444	16.265	12.897
445	16.324	12.948
446	16.384	13.007
447	16.444	13.060
448	16.504	13.112
449	16.566	13.159
450	16.630	13.216
451	16.693	13.267
452	16.758	13.312
453	16.826	13.363
454	16.893	13.426
455	16.959	13.472
456	17.028	13.516
457	17.095	13.587
458	17.159	13.628
459	17.227	13.675
460	17.296	13.719
461	17.367	13.773
462	17.437	13.821
463	17.509	13.873
464	17.582	13.917
465	17.661	13.952
466	17.740	14.019
467	17.814	14.075
468	17.888	14.121
469	17.967	14.165
470	18.046	14.224
471	18.123	14.276
472	18.203	14.308
473	18.290	14.356
474	18.375	14.410
475	18.460	14.458
476	18.542	14.515
477	18.625	14.551
478	18.711	14.597
479	18.797	14.648
480	18.880	14.702
481	18.962	14.745
482	19.046	14.788
483	19.134	14.827
484	19.224	14.876
485	19.312	14.934
486	19.398	14.986
487	19.484	15.035
488	19.569	15.097
489	19.653	15.144
490	19.741	15.184
491	19.828	15.255
492	19.914	15.291
493	20.003	15.349
494	20.086	15.412
495	20.168	15.455
496	20.254	15.499
497	20.342	15.548
498	20.432	15.596
499	20.524	15.653
500	20.612	15.713
501	20.697	15.776
502	20.785	15.807
503	20.876	15.880
504	20.960	15.947
505	21.042	16.001
506	21.126	16.055
507	21.210	16.112
508	21.297	16.158
509	21.382	16.231
510	21.464	16.293
511	21.546	16.344
512	21.631	16.405
513	21.715	16.466
514	21.801	16.522
515	21.890	16.577
516	21.977	16.656
517	22.061	16.727
518	22.148	16.770
519	22.236	16.853
520	22.318	16.934
521	22.402	16.975
522	22.490	17.050
523	22.578	17.107
524	22.664	17.202
525	22.744	17.282
526	22.823	17.350
527	22.906	17.405
528	22.996	17.472
529	23.084	17.564
530	23.174	17.627
531	23.260	17.735
532	23.343	17.803
533	23.427	17.886
534	23.513	17.958
535	23.602	18.035
536	23.692	18.125
537	23.781	18.212
538	23.869	18.301
539	23.954	18.405
540	24.034	18.497
541	24.116	18.571
542	24.204	18.634
543	24.293	18.745
544	24.377	18.835
545	24.459	18.927
546	24.539	19.026
547	24.620	19.100
548	24.708	19.173
549	24.798	19.266
550	24.889	19.347
551	24.979	19.445
552	25.065	19.548
553	25.150	19.622
554	25.241	19.703
555	25.328	19.820
556	25.412	19.894
557	25.501	19.971
558	25.592	20.059
559	25.683	20.153
560	25.771	20.251
561	25.859	20.339
562	25.946	20.439
563	26.033	20.524
564	26.126	20.585
565	26.221	20.693
566	26.311	20.784
567	26.399	20.880
568	26.486	20.966
569	26.572	21.048
570	26.663	21.118
571	26.753	21.229
572	26.839	21.307
573	26.928	21.386
574	27.016	21.483
575	27.104	21.562
576	27.192	21.654
577	27.279	21.747
578	27.368	21.822
579	27.460	21.913
580	27.548	22.011
581	27.637	22.085
582	27.727	22.186
583	27.813	22.275
584	27.898	22.363
585	27.982	22.458
586	28.059	22.576
587	28.139	22.615
588	28.231	22.679
589	28.320	22.805
590	28.400	22.905
591	28.481	22.982
592	28.563	23.073
593	28.650	23.138
594	28.740	23.227
595	28.830	23.315
596	28.919	23.408
597	29.006	23.502
598	29.089	23.619
599	29.168	23.698
600	29.250	23.781
601	29.335	23.849
602	29.422	23.940
603	29.505	24.043
604	29.584	24.143
605	29.661	24.223
606	29.740	24.312
607	29.814	24.418
608	29.886	24.506
609	29.962	24.560
610	30.043	24.663
611	30.123	24.750
612	30.204	24.849
613	30.283	24.934
614	30.369	24.998
615	30.457	25.101
616	30.541	25.202
617	30.628	25.271
618	30.716	25.379
619	30.804	25.458
620	30.894	25.551
621	30.985	25.641
622	31.077	25.734
623	31.168	25.833
624	31.255	25.942
625	31.336	26.054
626	31.416	26.139
627	31.499	26.224
628	31.587	26.294
629	31.679	26.388
630	31.768	26.492
631	31.853	26.595
632	31.937	26.684
633	32.022	26.767
634	32.105	26.883
635	32.183	26.976
636	32.264	27.050
637	32.344	27.167
638	32.418	27.266
639	32.496	27.332
640	32.580	27.417
641	32.663	27.516
642	32.744	27.605
643	32.823	27.707
644	32.905	27.762
645	32.993	27.850
646	33.083	27.924
647	33.171	28.027
648	33.255	28.120
649	33.337	28.221
650	33.416	28.309
651	33.494	28.392
652	33.572	28.490
653	33.650	28.567
654	33.731	28.651
655	33.814	28.743
656	33.900	28.809
657	33.989	28.902
658	34.081	28.966
659	34.178	29.046
660	34.271	29.149
661	34.356	29.251
662	34.440	29.327
663	34.526	29.408
664	34.608	29.501
665	34.687	29.582
666	34.767	29.659
667	34.845	29.745
668	34.919	29.833
669	34.997	29.889
670	35.080	29.975
671	35.160	30.078
672	35.238	30.150
673	35.317	30.256
674	35.395	30.327
675	35.478	30.418
676	35.558	30.519
677	35.640	30.601
678	35.721	30.705
679	35.805	30.774
680	35.892	30.874
681	35.976	30.983
682	36.056	31.069
683	36.140	31.144
684	36.225	31.238
685	36.306	31.334
686	36.387	31.414
687	36.470	31.505
688	36.552	31.599
689	36.634	31.688
690	36.719	31.758
691	36.806	31.847
692	36.887	31.957
693	36.964	32.040
694	37.043	32.103
695	37.122	32.207
696	37.200	32.275
697	37.277	32.369
698	37.353	32.447
699	37.428	32.549
700	37.500	32.638
701	37.569	32.735
702	37.638	32.817
703	37.708	32.901
704	37.783	32.969
705	37.862	33.053
706	37.938	33.164
707	38.012	33.229
708	38.086	33.335
709	38.157	33.406
710	38.232	33.489
711	38.306	33.577
712	38.379	33.670
713	38.453	33.751
714	38.531	33.831
715	38.607	33.958
716	38.678	34.051
717	38.755	34.115
718	38.832	34.230
719	38.910	34.283
720	38.995	34.368
721	39.080	34.454
722	39.165	34.535
723	39.254	34.602
724	39.345	34.685
725	39.436	34.763
726	39.525	34.860
727	39.611	34.944
728	39.694	35.038
729	39.778	35.111
730	39.867	35.179
731	39.959	35.266
732	40.045	35.376
733	40.128	35.451
734	40.220	35.509
735	40.317	35.602
736	40.411	35.698
737	40.506	35.773
738	40.601	35.875
739	40.691	35.970
740	40.781	36.045
741	40.865	36.170
742	40.948	36.225
743	41.038	36.303
744	41.126	36.410
745	41.211	36.482
746	41.300	36.559
747	41.393	36.635
748	41.487	36.722
749	41.581	36.797
750	41.678	36.867
751	41.772	36.962
752	41.863	37.038
753	41.955	37.112
754	42.042	37.208
755	42.123	37.284
756	42.203	37.360
757	42.284	37.422
758	42.369	37.483
759	42.450	37.578
760	42.530	37.634
761	42.615	37.708
762	42.699	37.785
763	42.784	37.857
764	42.872	37.913
765	42.965	37.986
766	43.058	38.059
767	43.148	38.145
768	43.241	38.200
769	43.337	38.282
770	43.426	38.378
771	43.516	38.439
772	43.606	38.530
773	43.688	38.629
774	43.771	38.689
775	43.859	38.774
776	43.944	38.868
777	44.029	38.955
778	44.116	39.042
779	44.200	39.151
780	44.282	39.237
781	44.365	39.330
782	44.448	39.425
783	44.529	39.519
784	44.609	39.613
785	44.687	39.709
786	44.764	39.813
787	44.839	39.898
788	44.915	39.998
789	44.991	40.093
790	45.064	40.205
791	45.136	40.308
792	45.204	40.418
793	45.274	40.499
794	45.347	40.586
795	45.420	40.685
796	45.493	40.769
797	45.566	40.862
798	45.638	40.967
799	45.706	41.076
800	45.772	41.170
801	45.839	41.258
802	45.909	41.353
803	45.982	41.440
804	46.058	41.530
805	46.134	41.638
806	46.209	41.729
807	46.286	41.815
808	46.363	41.913
809	46.436	42.011
810	46.511	42.079
811	46.590	42.166
812	46.669	42.255
813	46.749	42.341
814	46.828	42.440
815	46.907	42.528
816	46.987	42.614
817	47.072	42.699
818	47.160	42.791
819	47.250	42.891
820	47.338	43.002
821	47.423	43.109
822	47.504	43.219
823	47.586	43.309
824	47.671	43.388
825	47.757	43.494
826	47.843	43.572
827	47.928	43.681
828	48.010	43.773
829	48.093	43.850
830	48.180	43.937
831	48.267	44.028
832	48.355	44.110
833	48.443	44.201
834	48.528	44.295
835	48.611	44.375
836	48.693	44.467
837	48.775	44.532
838	48.860	44.615
839	48.944	44.682
840	49.029	44.770
841	49.110	44.849
842	49.190	44.921
843	49.273	44.981
844	49.357	45.059
845	49.437	45.140
846	49.519	45.193
847	49.602	45.277
848	49.684	45.342
849	49.767	45.417
850	49.850	45.488
851	49.932	45.557
852	50.016	45.618
853	50.101	45.692
854	50.184	45.767
855	50.267	45.841
856	50.348	45.925
857	50.427	46.003
858	50.507	46.075
859	50.588	46.158
860	50.665	46.243
861	50.742	46.316
862	50.818	46.409
863	50.892	46.489
864	50.967	46.565
865	51.045	46.637
866	51.125	46.724
867	51.204	46.811
868	51.282	46.901
869	51.360	46.989
870	51.438	47.091
871	51.514	47.175
872	51.589	47.280
873	51.664	47.352
874	51.743	47.429
875	51.819	47.547
876	51.892	47.623
877	51.966	47.723
878	52.037	47.816
879	52.107	47.906
880	52.177	47.993
881	52.250	48.069
882	52.327	48.154
883	52.408	48.235
884	52.488	48.335
885	52.566	48.431
886	52.642	48.513
887	52.721	48.596
888	52.801	48.680
889	52.879	48.779
890	52.955	48.870
891	53.033	48.943
892	53.115	49.024
893	53.200	49.103
894	53.285	49.194
895	53.371	49.271
896	53.458	49.366
897	53.540	49.464
898	53.620	49.554
899	53.698	49.640
900	53.778	49.725
901	53.859	49.805
902	53.941	49.896
903	54.025	49.971
904	54.109	50.065
905	54.193	50.149
906	54.278	50.222
907	54.368	50.296
908	54.458	50.386
909	54.548	50.456
910	54.639	50.543
911	54.727	50.623
912	54.813	50.712
913	54.898	50.778
914	54.984	50.865
915	55.069	50.942
916	55.153	51.031
917	55.236	51.101
918	55.321	51.185
919	55.402	51.270
920	55.480	51.355
921	55.558	51.423
922	55.638	51.501
923	55.714	51.587
924	55.788	51.665
925	55.863	51.732
926	55.944	51.789
927	56.024	51.878
928	56.103	51.943
929	56.181	52.023
930	56.260	52.090
931	56.342	52.159
932	56.423	52.249
933	56.502	52.333
934	56.579	52.418
935	56.655	52.497
936	56.729	52.585
937	56.802	52.662
938	56.876	52.743
939	56.952	52.817
940	57.027	52.913
941	57.098	53.000
942	57.171	53.079
943	57.245	53.166
944	57.321	53.247
945	57.398	53.333
946	57.475	53.421
947	57.551	53.508
948	57.628	53.583
949	57.704	53.677
950	57.783	53.746
951	57.863	53.842
952	57.942	53.934
953	58.020	54.017
954	58.101	54.106
955	58.182	54.202
956	58.260	54.305
957	58.338	54.397
958	58.419	54.477
959	58.503	54.570
960	58.589	54.652
961	58.675	54.745
962	58.762	54.829
963	58.847	54.927
964	58.931	55.007
965	59.013	55.110
966	59.095	55.178
967	59.182	55.257
968	59.268	55.346
969	59.353	55.422
970	59.440	55.501
971	59.526	55.581
972	59.613	55.658
973	59.700	55.733
974	59.790	55.808
975	59.880	55.895
976	59.970	55.970
977	60.061	56.053
978	60.151	56.130
979	60.245	56.203
980	60.342	56.276
981	60.440	56.361
982	60.535	56.437
983	60.633	56.505
984	60.732	56.584
985	60.830	56.655
986	60.930	56.724
987	61.030	56.802
988	61.132	56.867
989	61.235	56.945
990	61.341	57.005
991	61.449	57.085
992	61.555	57.160
993	61.661	57.239
994	61.765	57.321
995	61.860	57.420
996	61.952	57.489
997	62.046	57.563
998	62.142	57.641
999	62.236	57.724
1000	62.331	57.797
1001	62.430	57.869
1002	62.534	57.940
1003	62.637	58.029
1004	62.740	58.104
1005	62.845	58.180
1006	62.949	58.266
1007	63.053	58.344
1008	63.158	58.435
1009	63.256	58.536
1010	63.356	58.599
1011	63.462	58.688
1012	63.567	58.768
1013	63.674	58.851
1014	63.780	58.934
1015	63.887	59.017
1016	63.996	59.101
1017	64.105	59.190
1018	64.215	59.271
1019	64.326	59.358
1020	64.436	59.452
1021	64.543	59.543
1022	64.649	59.640
1023	64.754	59.725
1024	64.861	59.817
1025	64.967	59.913
1026	65.074	60.001
1027	65.183	60.098
1028	65.292	60.198
