/* DATA DESCRIPTION:
Citation:	Bazin, Lucie; Landais, Amaëlle; Lemieux-Dudon, Bénédicte; Toyé Mahamadou Kele, H; Veres, Daniel; Parrenin, Frédéric; Martinerie, Patricia; Ritz, Catherine; Capron, Emilie; Lipenkov, Vladimir Ya; Loutre, Marie-France; Raynaud, Dominique; Vinther, Bo Møllesøe; Svensson, Anders M; Rasmussen, Sune Olander; Severi, Mirko; Blunier, Thomas; Leuenberger, Markus Christian; Fischer, Hubertus; Masson-Delmotte, Valerie; Chappellaz, Jérôme A; Wolff, Eric William (2013): AICC2012 chronology for ice core EDC [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.824865, 
	In: Bazin, L et al. (2013): The Antarctic ice core chronology (AICC2012) [dataset publication series]. PANGAEA, https://doi.org/10.1594/PANGAEA.824894
Related to:	Bazin, Lucie; Landais, Amaëlle; Lemieux-Dudon, Bénédicte; Toyé Mahamadou Kele, H; Veres, Daniel; Parrenin, Frédéric; Martinerie, Patricia; Ritz, Catherine; Capron, Emilie; Lipenkov, Vladimir Ya; Loutre, Marie-France; Raynaud, Dominique; Vinther, Bo Møllesøe; Svensson, Anders M; Rasmussen, Sune Olander; Severi, Mirko; Blunier, Thomas; Leuenberger, Markus Christian; Fischer, Hubertus; Masson-Delmotte, Valerie; Chappellaz, Jérôme A; Wolff, Eric William (2013): An optimized multi-proxy, multi-site Antarctic ice and gas orbital chronology (AICC2012): 120-800 ka. Climate of the Past, 9(4), 1715-1731, https://doi.org/10.5194/cp-9-1715-2013
	Veres, Daniel; Bazin, Lucie; Landais, Amaëlle; Toyé Mahamadou Kele, H; Lemieux-Dudon, Bénédicte; Parrenin, Frédéric; Martinerie, Patricia; Blayo, Eric; Blunier, Thomas; Capron, Emilie; Chappellaz, Jérôme A; Rasmussen, Sune Olander; Severi, Mirko; Svensson, Anders M; Vinther, Bo Møllesøe; Wolff, Eric William (2013): The Antarctic ice core chronology (AICC2012): an optimized multi-parameter and multi-site dating approach for the last 120 thousand years. Climate of the Past, 9(4), 1733-1748, https://doi.org/10.5194/cp-9-1733-2013
Further details:	Supplementary material to AICC2012 ice core chronology (URI: hdl:10013/epic.42823.d001)
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Funding:	Fifth Framework Programme (FP5), grant/award no. EVK2-CT-2000-00077: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/EVK2-CT-2000-00077)
	Fourth Framework Programme (FP4), grant/award no. ENV4980702: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/ENV4980702)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 0.00 m * MAXIMUM DEPTH, ice/snow: 3192.75 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * Recovery: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Age, standard deviation [±] (Age std dev) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
	Gas age [ka BP] (Gas age) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
	Gas age, standard deviation [±] (Gas age std dev) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
	Accumulation rate in ice equivalent per year [m/a] (Acc rate ice per year) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
	Thinning function (TF) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
	Lock-in depth in ice equivalent [m] (LIDIE) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	11512 data points
*/
Depth ice/snow [m]	Age [ka BP]	Age std dev [±]	Gas age [ka BP]	Gas age std dev [±]	Acc rate ice per year [m/a]	TF	LIDIE [m]
125.40	3.33877	0.17645	1.13302	0.27322	0.0281	0.9696	64.14
127.05	3.39681	0.17960	1.16894	0.26140	0.0273	0.9691	63.72
128.70	3.45658	0.20024	1.23633	0.27804	0.0282	0.9684	64.42
130.35	3.51474	0.20124	1.26858	0.28306	0.0292	0.9680	65.35
132.00	3.57059	0.19707	1.29339	0.27831	0.0290	0.9674	64.86
133.65	3.62734	0.17964	1.36560	0.27282	0.0300	0.9670	65.52
135.30	3.68258	0.20401	1.39901	0.30568	0.0304	0.9667	66.04
136.95	3.73702	0.18899	1.43578	0.29899	0.0307	0.9662	65.90
138.60	3.79094	0.18769	1.49960	0.29530	0.0289	0.9657	64.60
140.25	3.84820	0.19022	1.60209	0.29925	0.0285	0.9653	63.99
141.90	3.90634	0.17600	1.68230	0.30135	0.0287	0.9650	64.92
143.55	3.96441	0.20011	1.70886	0.30477	0.0285	0.9643	64.76
145.20	4.02305	0.19747	1.77541	0.31176	0.0295	0.9639	64.65
146.85	4.07972	0.18873	1.83893	0.31407	0.0295	0.9635	65.26
148.50	4.13681	0.20167	1.87843	0.30106	0.0289	0.9627	64.78
150.15	4.19470	0.18116	1.95314	0.30573	0.0293	0.9623	64.26
151.80	4.25223	0.20266	2.02632	0.31339	0.0300	0.9618	66.07
153.45	4.30832	0.20791	2.02943	0.31208	0.0290	0.9613	64.82
155.10	4.36642	0.20382	2.12989	0.31628	0.0287	0.9608	65.14
156.75	4.42514	0.20650	2.17807	0.30442	0.0289	0.9606	64.37
158.40	4.48357	0.20639	2.26468	0.31130	0.0304	0.9604	66.06
160.05	4.53945	0.20233	2.26556	0.33697	0.0280	0.9597	63.72
161.70	4.59970	0.21476	2.41228	0.34524	0.0288	0.9594	65.25
163.35	4.65860	0.21670	2.41943	0.34105	0.0288	0.9588	64.48
165.00	4.71734	0.21956	2.51090	0.32632	0.0287	0.9583	64.84
166.65	4.77656	0.20513	2.55921	0.31361	0.0278	0.9581	64.51
168.30	4.83769	0.21320	2.62886	0.31583	0.0281	0.9575	64.75
169.95	4.89827	0.20172	2.67898	0.32993	0.0298	0.9572	65.13
171.60	4.95540	0.20781	2.72533	0.30260	0.0291	0.9567	64.41
173.25	5.01389	0.23242	2.80722	0.30750	0.0285	0.9563	65.42
174.90	5.07367	0.22597	2.82986	0.32162	0.0281	0.9561	63.86
176.55	5.13435	0.23636	2.90593	0.33456	0.0297	0.9556	66.51
178.20	5.19223	0.24738	2.93685	0.33301	0.0295	0.9553	66.21
179.85	5.25009	0.21462	2.97482	0.33434	0.0283	0.9548	65.55
181.50	5.31046	0.23300	3.05916	0.32256	0.0294	0.9544	64.66
183.15	5.36896	0.24388	3.14728	0.36476	0.0293	0.9538	64.07
184.80	5.42726	0.22639	3.22776	0.36980	0.0260	0.9534	64.62
186.45	5.49335	0.23609	3.27171	0.36459	0.0266	0.9532	65.84
188.10	5.55776	0.24104	3.29014	0.35745	0.0288	0.9528	63.53
189.75	5.61760	0.23782	3.43373	0.34540	0.0289	0.9525	63.13
191.40	5.67674	0.24927	3.50870	0.33548	0.0284	0.9523	64.28
193.05	5.73728	0.23005	3.52890	0.33780	0.0294	0.9518	63.71
194.70	5.79590	0.22324	3.60711	0.33231	0.0303	0.9517	64.27
196.35	5.85238	0.24596	3.64563	0.32898	0.0303	0.9513	64.76
198.00	5.90933	0.25262	3.68707	0.33531	0.0285	0.9510	65.88
199.65	5.96974	0.23027	3.70718	0.34495	0.0272	0.9507	64.52
201.30	6.03305	0.27089	3.80808	0.34912	0.0293	0.9502	65.97
202.95	6.09188	0.23995	3.81892	0.35608	0.0284	0.9500	65.98
204.60	6.15224	0.25803	3.87745	0.35716	0.0290	0.9498	64.98
206.25	6.21186	0.28002	3.97181	0.35875	0.0287	0.9495	65.29
207.90	6.27195	0.28025	4.02155	0.34699	0.0279	0.9494	64.36
209.55	6.33390	0.27177	4.11028	0.35110	0.0280	0.9490	64.19
211.20	6.39552	0.27108	4.17561	0.34772	0.0273	0.9486	64.57
212.85	6.45897	0.26003	4.22223	0.34108	0.0298	0.9481	65.31
214.50	6.51694	0.25467	4.25651	0.35434	0.0272	0.9479	65.20
216.15	6.58044	0.26932	4.31778	0.35200	0.0279	0.9474	64.54
217.80	6.64238	0.24343	4.40042	0.34987	0.0270	0.9468	64.71
219.45	6.70643	0.23930	4.45540	0.34061	0.0288	0.9469	65.24
221.10	6.76659	0.23330	4.49558	0.36398	0.0278	0.9469	64.05
222.75	6.82886	0.23187	4.59462	0.35886	0.0282	0.9467	64.40
224.40	6.89037	0.22419	4.64258	0.36559	0.0308	0.9462	65.95
226.05	6.94667	0.23542	4.65004	0.36222	0.0282	0.9460	64.78
227.70	7.00811	0.21154	4.74995	0.37062	0.0282	0.9454	64.39
229.35	7.06953	0.21750	4.82602	0.36934	0.0275	0.9451	64.80
231.00	7.13290	0.22007	4.89128	0.35050	0.0273	0.9449	64.64
232.65	7.19654	0.20791	4.93830	0.35530	0.0255	0.9442	64.44
234.30	7.26470	0.21057	5.00504	0.36364	0.0268	0.9437	63.88
235.95	7.32952	0.19804	5.08598	0.37225	0.0298	0.9432	65.58
237.60	7.38794	0.21106	5.08855	0.35174	0.0264	0.9425	65.19
239.25	7.45385	0.20324	5.16314	0.36230	0.0271	0.9419	64.74
240.90	7.51859	0.19649	5.25280	0.35342	0.0284	0.9421	64.30
242.55	7.57987	0.19918	5.31300	0.35806	0.0302	0.9420	64.92
244.20	7.63747	0.20703	5.35111	0.36470	0.0289	0.9420	66.05
245.85	7.69771	0.20547	5.37154	0.39341	0.0290	0.9418	64.03
247.50	7.75806	0.19280	5.52242	0.39511	0.0290	0.9414	64.48
249.15	7.81814	0.19051	5.55691	0.37409	0.0285	0.9411	65.50
250.80	7.87923	0.19640	5.58254	0.36749	0.0285	0.9404	63.85
252.45	7.94070	0.19179	5.71371	0.35047	0.0291	0.9396	63.61
254.10	8.00102	0.21155	5.78269	0.33418	0.0272	0.9394	62.11
255.75	8.06551	0.20105	5.83544	0.34944	0.0262	0.9388	65.56
257.40	8.13269	0.20496	5.88881	0.36273	0.0275	0.9381	64.34
259.05	8.19656	0.21963	5.93493	0.37708	0.0256	0.9373	64.25
260.70	8.26536	0.19641	6.00139	0.38699	0.0272	0.9372	65.56
262.35	8.33012	0.22900	6.01802	0.36270	0.0273	0.9370	65.90
264.00	8.39461	0.22205	6.06702	0.37179	0.0265	0.9369	65.46
265.65	8.46103	0.20937	6.14222	0.36259	0.0275	0.9366	64.04
267.30	8.52512	0.22178	6.25096	0.37102	0.0284	0.9363	63.56
268.95	8.58721	0.22439	6.32961	0.37736	0.0285	0.9363	64.56
270.60	8.64895	0.25292	6.35628	0.39221	0.0293	0.9362	65.01
272.25	8.70911	0.23392	6.40265	0.35270	0.0284	0.9357	64.31
273.90	8.77117	0.24148	6.48972	0.38621	0.0283	0.9355	64.37
275.55	8.83351	0.24898	6.54915	0.37826	0.0275	0.9356	64.05
277.20	8.89768	0.23819	6.62258	0.36352	0.0296	0.9355	63.24
278.85	8.95730	0.25475	6.71505	0.37749	0.0295	0.9353	63.42
280.50	9.01710	0.24010	6.76953	0.38917	0.0296	0.9353	65.00
282.15	9.07672	0.24694	6.77627	0.38012	0.0295	0.9357	63.62
283.80	9.13660	0.22989	6.88561	0.34968	0.0288	0.9355	63.72
285.45	9.19782	0.22805	6.93941	0.37547	0.0281	0.9353	62.62
287.10	9.26062	0.22977	7.03672	0.38890	0.0311	0.9356	64.43
288.75	9.31727	0.24249	7.03911	0.39588	0.0294	0.9352	63.80
290.40	9.37726	0.24107	7.12248	0.41872	0.0303	0.9349	63.05
292.05	9.43545	0.23821	7.19012	0.40611	0.0310	0.9350	65.47
293.70	9.49235	0.23575	7.21535	0.40611	0.0324	0.9349	64.13
295.35	9.54690	0.23321	7.30753	0.36437	0.0292	0.9350	63.73
297.00	9.60735	0.23636	7.38147	0.40275	0.0308	0.9351	63.43
298.65	9.66462	0.22851	7.45716	0.38292	0.0310	0.9351	63.48
300.30	9.72151	0.24574	7.51993	0.36505	0.0319	0.9355	61.33
301.95	9.77680	0.24978	7.65100	0.37249	0.0324	0.9353	62.63
303.60	9.83127	0.25043	7.66729	0.37517	0.0333	0.9354	63.01
305.25	9.88418	0.24579	7.71454	0.38456	0.0292	0.9357	64.27
306.90	9.94453	0.24985	7.73121	0.37744	0.0309	0.9356	62.20
308.55	10.00160	0.24792	7.86257	0.38543	0.0306	0.9357	63.15
310.20	10.05930	0.26985	7.89091	0.37919	0.0309	0.9355	63.14
311.85	10.11640	0.27299	7.94610	0.39224	0.0319	0.9354	65.11
313.50	10.17170	0.26706	7.95286	0.41657	0.0318	0.9352	64.52
315.15	10.22710	0.26317	8.02874	0.42986	0.0324	0.9349	63.90
316.80	10.28170	0.25753	8.11902	0.40921	0.0314	0.9351	63.82
318.45	10.33800	0.25703	8.18572	0.45060	0.0303	0.9351	65.21
320.10	10.39610	0.25786	8.19972	0.40859	0.0313	0.9354	62.84
321.75	10.45250	0.25549	8.35078	0.41931	0.0298	0.9353	64.71
323.40	10.51160	0.26246	8.35426	0.40848	0.0295	0.9351	63.47
325.05	10.57150	0.26279	8.46297	0.39213	0.0332	0.9356	62.64
326.70	10.62460	0.25155	8.55494	0.38610	0.0345	0.9353	62.09
328.35	10.67570	0.24806	8.63666	0.37977	0.0300	0.9354	62.59
330.00	10.73450	0.24261	8.68016	0.38645	0.0303	0.9353	61.47
331.65	10.79270	0.24327	8.78087	0.39614	0.0311	0.9346	63.27
333.30	10.84950	0.24477	8.78129	0.40552	0.0295	0.9344	63.02
334.95	10.90950	0.22853	8.85338	0.37254	0.0305	0.9340	62.24
336.60	10.96740	0.23158	8.94355	0.37725	0.0307	0.9336	62.90
338.25	11.02500	0.23163	8.98189	0.37775	0.0303	0.9331	63.34
339.90	11.08330	0.24284	9.02766	0.38311	0.0291	0.9325	64.16
341.55	11.14400	0.24852	9.06119	0.38738	0.0315	0.9324	64.16
343.20	11.20030	0.23853	9.12128	0.39491	0.0300	0.9316	63.98
344.85	11.25930	0.21985	9.19024	0.36127	0.0285	0.9305	63.41
346.50	11.32150	0.23992	9.27420	0.38080	0.0316	0.9299	63.17
348.15	11.37770	0.22813	9.34118	0.38956	0.0303	0.9293	64.38
349.80	11.43640	0.23951	9.36174	0.37892	0.0307	0.9288	64.42
351.45	11.49420	0.25563	9.42000	0.37710	0.0311	0.9286	65.46
353.10	11.55130	0.26697	9.44439	0.35920	0.0289	0.9281	64.87
354.75	11.61290	0.22946	9.51422	0.37085	0.0319	0.9277	66.87
356.40	11.66870	0.25268	9.52014	0.37892	0.0318	0.9273	68.27
358.05	11.72460	0.28617	9.52677	0.42755	0.0286	0.9269	69.26
359.70	11.78680	0.29135	9.55267	0.43853	0.0296	0.9268	70.74
361.35	11.84690	0.31650	9.56321	0.44849	0.0304	0.9261	72.26
363.00	11.90550	0.31396	9.57339	0.42570	0.0294	0.9256	72.47
364.65	11.96620	0.33898	9.62715	0.41666	0.0281	0.9251	71.36
366.30	12.02970	0.33081	9.72098	0.39153	0.0261	0.9245	70.15
367.95	12.09790	0.34689	9.81457	0.42722	0.0256	0.9240	69.06
369.60	12.16770	0.38353	9.90374	0.39862	0.0257	0.9236	68.13
371.25	12.23720	0.40574	9.99370	0.39593	0.0246	0.9228	67.71
372.90	12.30980	0.39670	10.06670	0.38487	0.0229	0.9224	67.79
374.55	12.38790	0.42470	10.12220	0.38919	0.0237	0.9221	68.28
376.20	12.46340	0.40912	10.16280	0.39443	0.0240	0.9219	68.59
377.85	12.53800	0.43374	10.20930	0.39779	0.0215	0.9216	67.89
379.50	12.62110	0.44058	10.28610	0.42620	0.0221	0.9213	68.29
381.15	12.70210	0.43710	10.33050	0.46701	0.0216	0.9211	68.38
382.80	12.78510	0.45812	10.38610	0.49090	0.0194	0.9210	67.45
384.45	12.87740	0.45406	10.47320	0.51192	0.0203	0.9210	66.88
386.10	12.96580	0.43318	10.55170	0.44366	0.0201	0.9210	66.05
387.75	13.05490	0.43182	10.63120	0.46768	0.0202	0.9208	61.85
389.40	13.14370	0.45760	10.80060	0.47995	0.0204	0.9207	62.90
391.05	13.23160	0.45232	10.80250	0.50548	0.0203	0.9207	66.06
392.70	13.32000	0.45299	10.82010	0.51847	0.0201	0.9208	67.79
394.35	13.40940	0.42131	10.84400	0.50933	0.0207	0.9207	65.65
396.00	13.49590	0.43048	10.93060	0.49699	0.0211	0.9207	65.00
397.65	13.58090	0.45501	11.00940	0.51187	0.0211	0.9207	64.30
399.30	13.66580	0.46283	11.09060	0.46754	0.0193	0.9209	64.12
400.95	13.75890	0.43920	11.15610	0.47057	0.0209	0.9211	65.65
402.60	13.84470	0.46948	11.16390	0.46863	0.0207	0.9212	66.70
404.25	13.93130	0.46534	11.18670	0.48439	0.0193	0.9212	67.16
405.90	14.02410	0.47067	11.22990	0.49168	0.0201	0.9215	66.30
407.55	14.11330	0.48206	11.31970	0.44654	0.0213	0.9218	65.34
409.20	14.19720	0.44009	11.40670	0.41604	0.0206	0.9220	63.96
410.85	14.28420	0.45692	11.50900	0.44038	0.0230	0.9222	64.40
412.50	14.36220	0.43373	11.52850	0.41628	0.0215	0.9224	66.90
